Name,Template
openChannelsLiveCollection,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
getAvailableAudioSources,{}
createInferenceSession,"{""allowGPU"": true, ""allowQuantize"": true, ""useNpuOnly"": true, ""typicalShape"": {}, ""model"": ""test"", ""allowNPU"": true, ""typicalDataFile"": {}, ""precisionLevel"": 1}"
requestBizSplitBillPayment,"{""orderNo"": ""test""}"
responseClientRequest,"{""data"": ""test"", ""id"": 1, ""support"": true}"
faceDetect,{}
requestVirtualPayment,"{""Val"": ""test"", ""currencyType"": ""test"", ""virtualPaySign"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""count"": 1, ""BucketSrc"": 1, ""priceLevel"": ""test"", ""GroupId"": 1, ""extInfo"": ""test"", ""ExptCheckSum"": ""test"", ""outTradeNo"": ""test"", ""ExptType"": 1, ""attach"": ""test"", ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""desc"": ""test""}"
disableLocationUpdate,{}
updateVoIPChatMuteConfig,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""handsFree"": true, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""roomType"": 1}"
addBLEPeripheralService,"{""readable"": true, ""characteristics"": [], ""read"": true, ""permission"": {}, ""readEncryptionRequired"": true, ""writeable"": true, ""uuid"": ""test"", ""serverId"": 1, ""notify"": true, ""writeEncryptionRequired"": true, ""descriptors"": [], ""writeNoResponse"": true, ""service"": {}, ""indicate"": true, ""value"": ""test"", ""write"": true, ""properties"": {}}"
openWeComUserProfile,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""BucketSrc"": 1, ""bizInfo"": ""test"", ""StartTime"": 1, ""scene"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test""}"
shareAppMessageDirectly,"{""rendererOptions"": {}, ""customButtonIconData"": ""test"", ""videoMD5"": ""test"", ""singlePage"": {}, ""sdkVersionBegin"": ""test"", ""type"": ""test"", ""sdkVersionEnd"": ""test"", ""homeButton"": true, ""liteAppPath"": ""test"", ""mode"": ""test"", ""playDesc"": ""test"", ""chatroomUsername"": ""test"", ""path"": ""test"", ""navigationBarBackgroundColor"": ""test"", ""liteAppId"": ""test"", ""androidVersionBegin"": ""test"", ""appBrandPriority"": 1, ""visualEffectInBackground"": ""test"", ""videoPath"": ""test"", ""thumbDataHash"": ""test"", ""navigationBarRightButton"": {}, ""useDefaultSnapshot"": true, ""navigationBarBackgroundAlpha"": 1.0, ""pageOrientation"": ""test"", ""backgroundColorContent"": ""test"", ""webViewUrl"": ""test"", ""disableForward"": true, ""page"": {}, ""desc"": ""test"", ""videoThumbPath"": ""test"", ""liteAppQuery"": ""test"", ""renderer"": ""test"", ""signature"": ""test"", ""enableFullScreen"": true, ""openId"": ""test"", ""link"": ""test"", ""liteAppBizData"": ""test"", ""skyline"": {}, ""navigationBarFit"": ""test"", ""title"": ""test"", ""androidVersionEnd"": ""test"", ""liteAppPriority"": 1, ""cacheKey"": ""test"", ""imageUrl"": ""test"", ""navigationBarTitleText"": ""test"", ""messageExtraData"": ""test"", ""hasRelievedBuyPlugin"": true, ""backgroundColor"": ""test"", ""videoButtonText"": ""test"", ""navigationStyle"": ""test"", ""resizable"": true, ""cardSubType"": 1, ""enablePullDownRefresh"": true, ""sdk_isFromMenu"": true, ""disableABTest"": true, ""backgroundTextStyle"": ""test"", ""handleWebviewPreload"": ""test"", ""hide"": true, ""disableSwipeBack"": true, ""navigationBarTextStyle"": ""test"", ""window"": {}, ""to"": ""test"", ""webpageUrl"": ""test""}"
verifyPaymentPassword,{}
publishWechatStateActivity,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""GroupId"": 1}"
openWeComUserProfile,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""bizInfo"": ""test"", ""BucketSrc"": 1, ""scene"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test""}"
closeSplashAd,"{""animated"": true, ""source"": ""test""}"
showShareActionSheet,{}
showStatusBar,{}
closeBLEPeripheralServer,"{""serverId"": 1}"
checkTrafficCardConditions,"{""Val"": ""test"", ""deviceType"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""deviceData"": {}, ""BucketSrc"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test""}"
batchSetStorage,"{""kvList"": [], ""data"": ""test"", ""dataType"": ""test"", ""key"": ""test"", ""storageId"": 1}"
hideKeyboard,{}
createUploadTaskAsync,{}
uploadToCommonCDN,"{""snsUploadVersion"": 1, ""appType"": 1, ""filePath"": ""test"", ""fileData"": ""test"", ""action"": ""test"", ""isStorageMode"": true, ""fileKey"": ""test"", ""fileType"": 1, ""thumbFilePath"": ""test"", ""thumbFileData"": ""test""}"
getMapScale,"{""mapId"": 1}"
getVideoInfo,"{""src"": ""test""}"
checkStrangerContactListIsFriend,"{""data"": {}}"
launchMiniProgram,"{""SystemAuthBizScene"": 1, ""downloadURL"": ""test"", ""Uint32WxaLibPrivateMaxFileStorageSizeInMB"": 1, ""TempFileSizeLimitTotal"": 1, ""scene"": 1, ""path"": ""test"", ""NewSetting"": {}, ""auto_update"": true, ""WidgetImageFlowLimitMaxSize"": 1, ""HeaderBlackList"": [], ""ClientStorageMinMB"": 1, ""AppServiceType"": 1, ""MaxWorkerConcurrent"": 1, ""DownloadMaxTimeoutMS"": 1, ""black_style"": {}, ""height"": 1, ""NativeBufferSizeLimitByte"": 1, ""LifeSpanAfterSuspend"": 1, ""UploadMaxTimeoutMS"": 1, ""version"": 1, ""materialSize"": 1, ""noRelaunchIfPathUnchanged"": true, ""navigation_bar_text_color"": ""test"", ""GamePerfCollectInterval"": 1, ""CanPreFetchData"": 1, ""icon_big"": {}, ""size"": 1, ""preSceneNote"": ""test"", ""firstPageNavigationStyle"": ""test"", ""MaxCodeSize"": 1, ""BrandOfficialLabel"": 1, ""Key"": ""test"", ""AgeAppropriateLevel"": 1, ""plugin_id"": ""test"", ""separated_plugin_list"": ""test"", ""renderer"": ""test"", ""version_desc"": ""test"", ""MaxDownloadConcurrent"": 1, ""independent"": true, ""CheckInterval"": 1, ""SvrType"": 1, ""WebsocketMaxTimeoutMS"": 1, ""module_list"": ""test"", ""StarNumberLimitation"": 1, ""SyncLaunchSceneList"": [], ""SystemAuthFrequencyLimitFlag"": 1, ""UsePackageConfirmSubDescScopeList"": [], ""icon_dark"": {}, ""PullVersionWxaUsageLastInterval"": 1, ""WidgetDrawMinInterval"": 1, ""PeriodFetchData"": 1, ""sessionId"": ""test"", ""AppMaxBackgroundLaunchBluetoothCount"": 1, ""background_color"": ""test"", ""OpenWxaWaitUpdateMinMicSec"": 1, ""template_id"": 1, ""TaskBarSyncUsageRecordIntervalMinute"": 1, ""HTTPSetting"": {}, ""PullVersionMaxCountPerRequest"": 1, ""OpenWxaWaitUpdateMaxMicSecForWeakNet"": 1, ""contexts"": [], ""GlobalWxaFileStorageCleanMbThreshold"": 1, ""semver"": ""test"", ""MaxUploadConcurrent"": 1, ""appId"": ""test"", ""TaskBarItemCountLimitation"": 1, ""inner_version"": 1, ""PreCgiCallByteBeforeLaunch"": ""test"", ""StartTime"": 1, ""ShowRelievedBuyFlag"": 1, ""WeUseRecallInterval"": 1, ""WidgetImageFlowLimitDuration"": 1, ""device_orientation"": ""test"", ""ExptType"": 1, ""page"": {}, ""HeaderWhiteList"": [], ""WxaWebRenderingCacheMaxStorageSizeMB"": 1, ""RunningFlagInfo"": {}, ""AppSharedResourceBackgroundRunningCount"": 1, ""PrefetchDNSDomain"": [], ""InvalidContactFreqBlockSeconds"": 1, ""NewTaskBarRecentsItemCountLimitation"": 1, ""AppVersion"": 1, ""PackageManager"": {}, ""NewCategories"": [], ""DownloadFileSizeLimit"": 1, ""ExpendedMaxWebviewDepth"": 1, ""without_lib_md5"": ""test"", ""PreDownloadUserNameBlackList"": [], ""SingleWxaFileStorageCleanMbThreshold"": 1, ""debug_launch_info"": ""test"", ""CanShowLoadingAdvert"": 1, ""OriginalRedirectUrl"": ""test"", ""OpenWxaWaitUpdateMaxMicSec"": 1, ""CanPeriodFetchData"": 1, ""username"": ""test"", ""fromBusinessUsername"": ""test"", ""Val"": ""test"", ""WsRequestDomain"": [], ""extraData"": ""test"", ""FlagshipSetting"": {}, ""OpendataMaxFileStorageSize"": 1, ""UploadDomain"": [], ""UDPDomain"": [], ""Appid"": ""test"", ""Network"": {}, ""GuaranteeFlag"": 1, ""open_remote"": true, ""VersionMD5"": ""test"", ""ExptId"": 1, ""AppMaxRunningCount"": 1, ""ForceSyncUpdateWhenLaunchLastInterval"": 1, ""WithoutContactClearSeconds"": 1, ""MaxBackgroundLifespan"": 1, ""Uint32MaxTempFileStorageSizeInMB"": 1, ""loading_image_info"": {}, ""progressbar_color"": ""test"", ""RunningFlag"": 1, ""MigrateInfo"": {}, ""EndTime"": 1, ""Uint32MinTempFileStorageSizeInMB"": 1, ""CanShowGameLoadingAdvert"": 1, ""TCPDomain"": [], ""widget_list"": [], ""AppMaxBackgroundBluetoothCount"": 1, ""Uint32MaxLocalstorageSizeInMB"": 1, ""instanceId"": ""test"", ""TLSSkipHostnameCheck"": 1, ""MaxGlobalStorageItemSize"": 1, ""wxapkg_md5"": ""test"", ""HTTPHeaderReferer"": ""test"", ""CanNotStarWxaBeforeTime"": 1, ""LifeSpanBeforeSuspend"": 1, ""DownloadDomain"": [], ""SubContextImgDomain"": [], ""resizable"": true, ""WechatPluginApp"": 1, ""fake_native_loading_style_info"": {}, ""url"": ""test"", ""MaxGlobalStorageSize"": 1, ""GroupId"": 1, ""icon_gray"": {}, ""envVersion"": ""test"", ""RequestDomain"": [], ""CDNBaseURL"": ""test"", ""width"": 1, ""ExptSequence"": 1, ""MaxRequestConcurrent"": 1, ""first"": ""test"", ""AgeAppropriateIcon"": {}, ""BatchPreFetchBusiFlag"": 1, ""md5"": ""test"", ""checkSumMd5"": ""test"", ""entrance_module"": ""test"", ""BucketSrc"": 1, ""client_js_ext_info"": ""test"", ""preScene"": 1, ""package_type"": 1, ""GameMaxRunningCount"": 1, ""PerformIndexReportGapInSeconds"": 1, ""RequestMaxTimeoutMS"": 1, ""second"": ""test"", ""sceneNote"": ""test"", ""Uint32OpendataMaxLocalstorageSizeInMB"": 1, ""WXDataMaxRequestConcurrent"": 1, ""MaxLocalStorageItemSize"": 1, ""icon_green"": {}, ""custom_version"": ""test"", ""white_style"": {}, ""BluetoothBackgroundTimeoutWithoutConnectionInSeconds"": 1, ""EntranceModule"": ""test"", ""halfPage"": {}, ""WebsocketSkipPortCheck"": 1, ""MaxWebsocketConnect"": 1, ""prefix_path"": ""test"", ""materialName"": ""test"", ""NativeBufferQueueLimitByte"": 1, ""TradeGuaranteeMenuSetting"": ""test"", ""icon_light"": {}, ""HTTPHeaderMode"": ""test"", ""WholeClientStoragePercent"": 1, ""CanKeepAliveByAudioPlay"": 1, ""NextTryOpenWxaDisMicSec"": 1, ""SyncVersionSetting"": {}, ""VersionState"": 1, ""code_size"": 1, ""dev_key"": 1, ""brotli"": true, ""WhiteScreenDetectThresholdFloatNew"": 1.0, ""OriginalFlag"": 1, ""AppOpenForbiddenUrl"": ""test"", ""PeriodFetchDataDay"": 1, ""isTransparentBackgroundSupport"": ""test"", ""UseModule"": true, ""alias"": [], ""GamePerfCollectSamplePercentage"": 1.0, ""GameDownloadFileSizeLimit"": 1, ""LoadingWeakNetDelayDurationInSecondsAndroid"": 1, ""ShowFlagshipFlag"": 1, ""Uint32MaxFileStorageSizeInMB"": 1, ""LaunchFallbackMinVersion"": 1, ""ExptCheckSum"": ""test"", ""PullVersionMaxCount"": 1, ""parallelDownloadOnLaunchStage"": true, ""ScanCodeEnableZZM"": 1, ""PullVersionInterval"": 1, ""target_appid"": ""test"", ""CDNPreConnectURL"": ""test"", ""RelievedBuySetting"": {}}"
removeXWebLivePlayer,"{""viewId"": 1}"
enableAccelerometer,"{""enable"": true, ""interval"": 1}"
stopNFCDiscovery,{}
getEncryptHKPasswd,"{""Val"": ""test"", ""EndTime"": 1, ""ExptCheckSum"": ""test"", ""SvrType"": 1, ""ExptType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
setAppSnapshotStrategy,"{""ignoreNative"": true, ""shortEdge"": 1}"
requestFindPayPwdWay,{}
chooseMultiMedia,"{""Val"": ""test"", ""EndTime"": 1, ""poiName"": ""test"", ""SvrType"": 1, ""latitude"": 1.0, ""StartTime"": 1, ""BucketSrc"": 1, ""count"": 1, ""pickAlbumType"": 1, ""cameraType"": [], ""GroupId"": 1, ""locationRadius"": 1.0, ""ExptCheckSum"": ""test"", ""sourceType"": [], ""ExptType"": 1, ""location"": {}, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""maxDuration"": 1, ""longitude"": 1.0}"
openAddress,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""GroupId"": 1}"
reportCanvasData,"{""eventInfo"": ""test"", ""viewId"": 1}"
uploadWeRunData,"{""step"": 1}"
openWCPayLQTDetail,"{""Val"": ""test"", ""auto_jump_charge_setting"": 1, ""package"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""nonceStr"": ""test"", ""GroupId"": 1, ""timeStamp"": ""test"", ""ExptCheckSum"": ""test"", ""paySign"": ""test"", ""ExptType"": 1, ""show_open_toast"": 1, ""signType"": ""test"", ""pay_channel"": ""test"", ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test""}"
getInferenceEnvInfo,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""GroupId"": 1}"
updateMultiPickerView,"{""current"": 1, ""headerText"": ""test"", ""array"": [], ""column"": 1}"
openSetting,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""withSubscriptions"": true, ""ExptType"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""username"": ""test""}"
getMusicPlayerState,{}
unzip,{}
setVolume,"{""value"": 1}"
setMapLocMarkerIcon,"{""mapId"": 1, ""iconPath"": ""test""}"
updateShareMenuToDo,"{""toDoActivityId"": ""test"", ""isToDoMessage"": true}"
updateApp,{}
openCustomerServiceChat,"{""rendererOptions"": {}, ""customButtonIconData"": ""test"", ""renderer"": ""test"", ""singlePage"": {}, ""enableFullScreen"": true, ""skyline"": {}, ""sdkVersionEnd"": ""test"", ""navigationBarFit"": ""test"", ""sdkVersionBegin"": ""test"", ""sendMessageHintTitle"": ""test"", ""scene"": 1, ""extInfo"": ""test"", ""homeButton"": true, ""androidVersionEnd"": ""test"", ""navigationBarBackgroundColor"": ""test"", ""finder_context"": ""test"", ""navigationBarTitleText"": ""test"", ""showMessageCard"": true, ""backgroundColor"": ""test"", ""navigationStyle"": ""test"", ""resizable"": true, ""androidVersionBegin"": ""test"", ""enablePullDownRefresh"": true, ""backgroundTextStyle"": ""test"", ""disableABTest"": true, ""visualEffectInBackground"": ""test"", ""sendMessageImg"": ""test"", ""url"": ""test"", ""handleWebviewPreload"": ""test"", ""sendMessageTitle"": ""test"", ""hide"": true, ""navigationBarRightButton"": {}, ""pageOrientation"": ""test"", ""navigationBarBackgroundAlpha"": 1.0, ""sendMessageParam"": {}, ""backgroundColorContent"": ""test"", ""disableSwipeBack"": true, ""navigationBarTextStyle"": ""test"", ""page"": {}, ""sendMessagePath"": ""test"", ""window"": {}}"
isSupportNFC,{}
includeMapPoints,"{""padding"": ""test"", ""latitude"": ""test"", ""mapId"": 1, ""longitude"": ""test"", ""points"": ""test""}"
requestOfflineUserBindQuery,"{""timeStamp"": ""test"", ""package"": ""test"", ""paySign"": ""test"", ""signType"": ""test"", ""nonceStr"": ""test""}"
setScreenBrightness,{}
addMapCustomLayer,"{""layerId"": ""test"", ""mapId"": 1}"
removeSplashScreenshot,{}
removeTextArea,{}
operateLocalServicesScan,"{""serviceType"": ""test"", ""action"": ""test""}"
highlightTitleForSinglePage,{}
refreshSession,{}
sendBizRedPacket,"{""Val"": ""test"", ""pay_scene"": 1, ""key_appbrand_from_path"": ""test"", ""result_jump_mode"": ""test"", ""EndTime"": 1, ""key_appbrand_from_scene"": ""test"", ""SvrType"": 1, ""BucketSrc"": 1, ""key_appbrand_from_username"": ""test"", ""src_username"": ""test"", ""key_joint_pay"": true, ""scene"": 1, ""paySign"": ""test"", ""key_qrcode_timeline_objid"": ""test"", ""key_qrcode_session_type"": 1, ""appId"": ""test"", ""signType"": ""test"", ""key_qrcode_session_name"": ""test"", ""ExptId"": 1, ""pay_for_wallet_type"": 1, ""package"": ""test"", ""cookie"": ""test"", ""key_chat_type"": 1, ""StartTime"": 1, ""ext_info"": ""test"", ""reqKey"": ""test"", ""nonceStr"": ""test"", ""url"": ""test"", ""token"": ""test"", ""GroupId"": 1, ""timeStamp"": ""test"", ""pay_code_scene"": 1, ""businessScene"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""pay_channel"": 1, ""key_send_type"": 1, ""partnerId"": ""test"", ""ExptSequence"": 1, ""Key"": ""test"", ""payScene"": 1}"
setBackgroundAudioState,"{""src"": ""test""}"
createBLEConnection,"{""Val"": ""test"", ""mainThread"": true, ""connectionPriority"": ""test"", ""debug"": true, ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""discoverDelay"": 1, ""transport"": ""test"", ""doDiscover"": true, ""deviceId"": ""test"", ""GroupId"": 1, ""autoConnect"": true, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test""}"
chooseShareGroup,"{""labelList"": [], ""private"": true, ""userList"": [], ""visible"": true, ""public"": true, ""invisible"": true, ""group"": ""test""}"
scanItem,"{""data"": ""test""}"
getVolume,{}
closeBLEConnection,"{""Val"": ""test"", ""mainThread"": true, ""debug"": true, ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""deviceId"": ""test"", ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test""}"
createDownloadTaskAsync,{}
operateWxappCGI,"{""uiCgi"": 1, ""uri"": ""test"", ""username"": ""test""}"
updateXWebVoIPView,"{""viewId"": 1}"
openFinderProfile,"{""Val"": ""test"", ""EndTime"": 1, ""ExptCheckSum"": ""test"", ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""username"": ""test"", ""GroupId"": 1}"
removeStorage,"{""key"": ""test"", ""storageId"": 1}"
reLaunch,"{""url"": ""test""}"
startGameLive,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""GroupId"": 1, ""path"": ""test"", ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""reportInfo"": ""test"", ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test""}"
openCard,"{""cardList"": ""test"", ""Val"": ""test"", ""EndTime"": 1, ""ExptCheckSum"": ""test"", ""SvrType"": 1, ""ExptType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
postMessageToReferrerMiniProgram,"{""extraData"": ""test""}"
openSingleStickerView,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""GroupId"": 1, ""emojiInfoBuf"": ""test"", ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""md5"": ""test""}"
requestContactDisplayInfo,"{""userHash"": ""test"", ""headUrl"": ""test"", ""nickname"": ""test"", ""userHashList"": []}"
compressImage,"{""src"": ""test"", ""compressedWidth"": 1, ""compressedHeight"": 1, ""quality"": 1}"
modifyFinderAccountNickname,"{""signature"": ""test"", ""nickname"": ""test"", ""username"": ""test""}"
enableLocationUpdate,"{""enableIndoor"": true, ""subKey"": ""test"", ""type"": ""test""}"
startFacialEncryptionVerify,"{""checkAliveType"": 1, ""requestVerifyPreInfo"": ""test""}"
openDeliveryList,"{""query"": ""test""}"
chooseLicensePlate,{}
installDownloadTaskForNative,"{""appId"": ""test"", ""downloadId"": 1}"
showShareMenuWithShareTicket,{}
openWeAppProfile,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""exposeScene"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""GroupId"": 1, ""sceneNote"": ""test"", ""scene"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""username"": ""test""}"
openVideoEditor,"{""buttonOptions"": [], ""atempo"": 1.0, ""minDuration"": 1, ""bgmSrc"": ""test"", ""sdkParmas"": {}, ""filePath"": ""test"", ""needExtUrl"": true, ""chosenId"": 1, ""videoSrc"": ""test"", ""wxaFilePath"": ""test"", ""audioMix"": true, ""title"": ""test"", ""editorParmas"": {}, ""toolBars"": [], ""duration"": 1, ""volume"": 1.0, ""size"": 1, ""editType"": 1, ""thumbPath"": ""test"", ""maxDuration"": 1, ""timeRange"": []}"
batchGetContact,"{""appIds"": []}"
operateRecentUsageList,"{""versionType"": 1, ""actionType"": 1, ""appId"": ""test"", ""username"": ""test""}"
setNavigateBackInterception,"{""interception"": true, ""scopes"": [], ""type"": 1}"
bindGroup,"{""signature"": ""test"", ""groupId"": ""test"", ""nonceStr"": ""test""}"
sendDataToH5,"{""Val"": ""test"", ""EndTime"": 1, ""data"": ""test"", ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""webviewId"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test""}"
authorize,{}
operateWxappStarItem,"{""actionType"": 1, ""username"": ""test""}"
private_addContact,"{""Val"": ""test"", ""EndTime"": 1, ""ExptCheckSum"": ""test"", ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""GroupId"": 1}"
showSplashAdMenu,"{""showMenu"": true, ""icon"": ""test"", ""title"": ""test""}"
operateMediaContainer,"{""operationType"": ""test"", ""mimeType"": ""test"", ""containerId"": 1}"
enableLocationUpdate,"{""enableIndoor"": true, ""subKey"": ""test"", ""type"": ""test""}"
removeMapVisualLayer,"{""layerId"": ""test"", ""mapId"": 1}"
openRedPacket,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""redPacketId"": ""test"", ""GroupId"": 1}"
shareInvitationToLiveRoom,{}
createFinderAccount,{}
fetchFinderProfileFeed,"{""maxId"": ""test"", ""username"": ""test""}"
batchPreloadMiniProgram,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""preloadList"": ""test"", ""BucketSrc"": 1, ""preloadRate"": [], ""path"": ""test"", ""high"": 1.0, ""low"": 1.0, ""appType"": 1, ""appId"": ""test"", ""id"": 1, ""ExptId"": 1, ""openRate"": 1.0, ""middle"": 1.0, ""StartTime"": 1, ""openParams"": ""test"", ""GroupId"": 1, ""innerScene"": 1, ""businessScene"": 1, ""visitScene"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptSequence"": 1, ""Key"": ""test""}"
openStickerSetView,"{""productId"": ""test""}"
insertXWebVoIPView,"{""viewId"": 1}"
getGamePerformance,"{""Val"": ""test"", ""EndTime"": 1, ""ExptCheckSum"": ""test"", ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
faceProcessInit,{}
openRealnameAuth,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""authType"": 1, ""Key"": ""test"", ""categoryId"": ""test""}"
getWxCommFont,"{""path"": ""test""}"
faceVerifyForPay,"{""Val"": ""test"", ""faceVerifyTitle"": ""test"", ""package"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""GroupId"": 1, ""scene"": 1, ""packageSign"": ""test"", ""otherVerifyTitle"": ""test"", ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""otherVerifyTitleFront"": ""test"", ""needFrontPage"": ""test"", ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test""}"
getPhoneNumber,"{""api_name"": ""test"", ""with_credentials"": true}"
addCard,"{""cardList"": ""test"", ""Val"": ""test"", ""EndTime"": 1, ""ExptCheckSum"": ""test"", ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
getRecentUsageList,"{""requestId"": 1, ""count"": 1, ""lastUpdateTime"": 1}"
enableLocationUpdate,"{""enableIndoor"": true, ""subKey"": ""test"", ""type"": ""test""}"
enableGyroscope,"{""enable"": true, ""interval"": 1}"
exitVoIPChat,"{""Val"": ""test"", ""EndTime"": 1, ""ExptCheckSum"": ""test"", ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""roomType"": 1, ""Key"": ""test"", ""GroupId"": 1}"
openBizProfile,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""scene"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""profileReportInfo"": ""test"", ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""username"": ""test""}"
setEnableDebug,"{""enableDebug"": true}"
